15/06/2023
SCRIP CODE	SCRIP NAME	CAPITAL(No. of shares in lacs)
513579	Foundry Fuel Products Ltd.	80.18750
513599	Hindustan Copper Ltd.	9670.24020
513613	Presha Metallurgical Ltd	142.89800
513629	Tulsyan NEC Ltd	147.94741
513642	Axel Polymers Ltd.	85.16680
513648	Marg Projects and Infrastructu	54.45000
513683	NLC India Limited	13866.36609
513687	Spectra Industries Ltd.	70.78500
513691	JMT Auto Ltd	5038.32140
513693	KIC Metaliks Ltd.	354.96000
513699	Solid Stone Company Ltd.	53.80000
513703	Kumar Wire Cloth Manufacturing	27.60000
513709	Shilp Gravures Ltd.	61.49800
513713	White Organic Agro Limited	350.00000
513721	MFS Intercorp Limited	43.24900
513723	HG INDUSTRIES LIMITED	46.33568
513729	Aro Granite Industries Ltd.	153.00000
514010	Himachal Fibres Ltd.	862.50000
514028	Rajkamal Synthetics Ltd.	65.00000
514030	Deepak Spinners Ltd.	71.89368
514034	JBF Industries Ltd.	818.71849
514036	Loyal Textiles Mills Ltd	48.16446
514043	Himatsingka Seide Ltd.	984.57160
514045	BSL Ltd.	102.92168
514060	Evergreen Textiles Limited	48.00000
514087	P.B.M. Polytex Ltd.	68.79020
514113	Adinath Textiles Ltd.	68.14350
514116	Gupta Synthetics Ltd.	73.52700
514118	Eskay K'n'IT (India) Ltd	2808.31852
514128	Konark Synthetics  Ltd	58.08000
514138	Suryalata Spinning Mills Ltd.	42.67000
514140	Suryavanshi Spinning Mills Ltd	49.08576
514142	T T Ltd	214.98050
514144	Uniworth Ltd.	339.86243
514162	Welspun India Ltd	9880.58484
514165	Indian Acrylics Ltd	1353.22162
514167	Ganesha Ecosphere Limited	218.29397
514171	Ceeta Industries Ltd.	145.02400
514175	Vardhman Polytex Ltd.	222.90957
514177	Rishabh Special Yarns Ltd	35.60700
514183	Black Rose Industries Ltd	510.00000
514197	S & T Corporation Limited	318.31205
514211	Sumeet Industries Ltd	1036.42389
514215	Binny Ltd.	223.19410
514221	K-Lifestyle & Industries Limit	10223.82960
514223	Ramgopal Polytex Ltd	145.00000
514234	Sangam (India) Ltd	450.46559
514236	TTL ENTERPRISES LIMITED	0.69600
514238	MKVENTURES CAPITAL LIMITED	38.43450
514240	Kush Industries Limited	152.50000
514248	Sree chem Resins Ltd	40.00000
514258	Hytone Texstyles Ltd	53.00000
514260	Surbhi Industries Limited	34.37400
514264	Seasons Textiles Ltd	74.90300
514266	Zenith Fibres Limited	39.44136
514272	Bhilwara Spinners Ltd	67.61130
514274	Aarvee Denims & Exports Ltd.	234.59800
514280	Sanrhea Technical Textiles Ltd	50.00000
514282	Uniworth International ltd.	106.00000
514286	Ashima Ltd	1916.60078
514300	Pioneer Embroideries Ltd.	265.82692
514302	Vippy Spinpro Ltd.	58.70000
514306	Garlon Polyfab Industries Ltd.	46.13200
514312	Jaihind Synthetics Ltd.	63.20000
514316	Raghuvir Synthetics Ltd.	387.50000
514318	Jattashankar Industries Limite	43.87100
514322	Kamadgiri Fashion Limited	58.69371
514324	Omnitex Industries (India) Ltd	42.04100
514326	Patspin India Ltd.	309.20000
514328	Nachmo Knitex Ltd.	150.29273
514330	ONE GLOBAL SERVICE PROVIDER LI	71.04707
514332	Neo Infracon Ltd.	53.06800
514336	GENESIS IBRC INDIA LIMITED	130.00000
514348	Winsome Yarns Ltd.	707.07229
514354	Premier Polyfilm Ltd.	209.48495
514358	EVERLON FINANCIALS LIMITED	56.22240
514360	K&R RAIL ENGINEERING LIMITED	157.79755
514366	Citizen Yarns Ltd.	62.98400
514378	Yarn Syndicate Ltd.	37.50000
514386	Gujarat Cotex Ltd	142.44000
514394	Atlas Jewellery India Limited	1006.54533
514400	Garware Synthetics Ltd.	58.08900
514402	ECO HOTELS AND RESORTS LIMITED	178.36508
514412	SARUP INDUSTRIES LIMITED	32.52400
514414	Oxford Industries ltd.	59.43350
514418	Mangalam Organics Limited	85.64440
514428	Hindustan Adhesives Ltd.	51.16300
514440	Blue Pearl Texspin Limited	2.56000
514442	Sri KPR Industries Ltd	201.45695
514446	LS Industries Limited	8488.18700
514448	Jyoti Resins & Adhesives Ltd	120.00000
514450	Mahalaxmi Rubtech Ltd.	106.20275
514454	Southern Latex Ltd.	73.59200
514460	Oswal Yarns Ltd.	40.10000
514470	Winsome Textile Industries Ltd	198.20000
514482	Asahi Industries Limited	664.42552
514484	Thambbi Modern Spinning Mills	115.25540
515008	Modern Insulators Ltd.	471.43900
515018	Regency Ceramics Ltd	264.41586
515030	Asahi India Glass Ltd.	2430.89931
515037	Murudeshwar Ceramics Ltd.	576.95260
515043	Saint-Gobain Sekurit India Ltd	911.05700
515053	Gujarat Refractories Ltd.	29.00000
515055	Anant Raj Limited	3240.96335
515059	Madhusudan Industries Ltd.	53.75000
515081	Sri Vajra Granites Ltd.	72.62200
515085	Restile Ceramics Ltd.	982.79239
515093	Madhav Marbles & Granites Ltd.	89.47000
515111	Prakash Ceramics Ltd	34.20000
515115	STI Granite India Limited	100.00000
515127	Ramasigns Industries Limited	285.50000
515145	Hindusthan National Glass & In	895.53565
515147	Haldyn Glass Limited	537.51700
516003	DUROPLY INDUSTRIES LIMITED	77.72934
516016	Shreyans Industries Limited.	138.24550
516020	Agio Paper & Industries Limite	161.25400
516022	Star Paper Mills Ltd.	156.08350
516030	YASH PAKKA LIMITED	380.78500
516032	TAHMAR ENTERPRISES LIMITED	311.89000
516038	Soma Papers & Industries Ltd.	14.02150
516062	National Plywood Industries Lt	246.42750
516064	Arrow Greentech Limited	150.87938
516072	Vishnu Chemicals Limited	597.30100
516078	Jumbo Bag ltd.	83.73700
516082	N.R.Agarwal Industries Ltd.	170.19100
516086	Shree Rajeshwaranand Paper Mil	124.50000
516090	Watson Software Ltd.	38.80000
516092	3P LAND HOLDINGS LTD.	180.00000
516096	Sangal Papers Ltd.	13.07260
516098	Ventura Textiles Ltd.	194.53289
516106	Shree Karthik Papers Ltd.	191.10000
516108	South India Paper Mills Ltd.	187.50000
516110	FAMILY CARE HOSPITALS LIMITED	540.14774
517015	Vindhya Telelinks Ltd.	118.50863
517035	RIR POWER ELECTRONICS LIMITED	69.57240
517041	Ador Welding Ltd.	135.98467
517044	International Data Managements	22.00000
517059	Salzer Electronics Ltd.	161.82737
517063	Jetking Infotrain Ltd.	59.07500
517077	Ind-Agiv Commerce Ltd.	10.00000
517096	Aplab Ltd.	100.00000
517119	PCS Technology Ltd.	209.50677
517146	Usha Martin Ltd.	3047.41780
517159	Telephone Cables Ltd	98.90000
517164	Zenith Computers Ltd.	154.80840
517166	SPEL Semiconductor Ltd.	461.17443
517168	Subros Ltd.	652.35750
517170	Edvenswa Enterprises Limited	181.60000
517172	Pervasive Commodities Limited	0.95220
517174	Honeywell Automation India Ltd	88.41523
517176	Webel Communication Industries	18.00000
517201	Switching Technologies Gunther	24.50000
517206	Lumax Industries Ltd.	93.47732
517214	DIGISPICE TECHNOLOGIES LIMITED	2315.63106
517228	Trend Electronics Limited	75.00000
517230	PAE LTd.	104.19600
517236	Calcom Vision Ltd.	127.91802
517238	Dynavision Limited	38.40000
517242	SAKA LIMITED	96.76767
517246	BCC Fuba India Ltd.	153.10050
517258	Precision Electronics Ltd.	138.48512
517264	Fine-line Circuits Ltd.	48.07786
517271	HBL Power Systems Ltd.	2771.94946
517273	S & S Power Switchgears Ltd.	62.00000
517286	Autopal Industries Ltd.	34.96368
517288	Gujarat Poly Electronics Limit	85.50000
517300	Gujarat Industries Power Co. L	1512.51188
517320	Savant Infocomm Limited	33.80300
517330	CMI Limited	160.27457
517334	Samvardhana Motherson Internat	67761.98972
517336	Modern Malleables Limited	1165.25000
517344	Mindteck (India) Ltd	252.75093
517354	Havells India Limited	6265.09738
517356	ACI Infocom Ltd.	1104.90900
517360	SBEC Systems (Ind) Ltd.	100.00000
517370	Incap Ltd	46.53200
517372	Gujarat Intrux Limited	34.35300
517378	Electrex (India) Ltd.	94.61200
517380	Igarashi Motors India Ltd.	314.75048
517385	Symphony Limited	699.57000
517391	Gamma Infoway Exalt Ltd.	49.42402
517393	Vintron Informatics Ltd.	783.55800
517397	Pan Electronics India Ltd.	40.00000
517399	VXL Instruments Ltd.	133.24800
517407	Toyama Electric Ltd.	30.00000
517411	Shyam Telecom Ltd.	112.70000
517415	Lee & Nee Softwares (Exports)	557.74000
517417	Patels Airtemp (I) Ltd.	54.70240
517421	Butterfly Gandhimathi Applianc	178.79551
517423	Integra Switchgear Ltd.	28.81600
517429	Athena Global Technologies Lim	133.80000
517431	Narmada Macplast Drip Irrigati	36.23000
517433	Innovation Software Exports Lt	30.00000
517437	Dutron  Polymers Ltd.	60.00000
517447	R S Software India Ltd.	257.08318
517449	Magna Electro Castings Ltd.	42.32104
517463	Linaks Microelectronics Ltd.	173.35300
517467	MARSONS LIMITED	1250.00000
517471	Koa Tools India Ltd	347.30000
517473	Datapro Information Technology	1489.37500
517477	Elnet Technologies Ltd.	40.00007
517492	STI Products India Ltd.	40.00000
517494	ACCEL LIMITED	575.72401
517498	Websol Energy System Limited	387.97418
517500	Roto Pumps Ltd.	157.03805
517506	TTK Prestige Ltd.	1386.14020
517514	D & H India Limited	77.88000
517516	Datar Switchgear Ltd.	79.50000
517518	Leel Electricals Limited	403.32260
517522	Rajratan Global Wire Ltd	507.71000
517526	Inditalia Refcon Ltd.	119.00700
517530	Surana Telecom And Power Limit	1357.59963
517536	Onward Technologies Ltd.	223.47370
517544	Centum Electronics Ltd	128.84781
517546	Alfa Transformers ltd.	91.50645
517548	Starlite Components Ltd.	171.00000
517554	NHC FOODS LIMITED	118.55000
517556	PVP Ventures Ltd	2450.52701
517562	Trigyn Technologies Ltd.	307.85736
517564	G.R.Cables Ltd.	288.94861
517569	KEI Industries Ltd.	901.92438
517571	IMP Power Ltd.	86.36563
517973	DMC Education Ltd	332.98208
518011	Keerthi Industries Ltd	80.16738
518017	Bheema Cements Limited	326.10002
518029	Gujarat Sidhee Cement Limited.	893.98236
518053	Sri Chakra Cement Limited	90.00000
518075	Suraj Products Ltd.	114.00000
518091	Anjani Portland Cement Ltd.	293.74764
519003	Modi Naturals Limited	126.56397
519014	Prashant India Ltd	42.35443
519031	Shah Foods Ltd	5.97500
519064	Khandelwal Extraction Ltd.	8.50100
519091	Tasty Bite Eatables Ltd.	25.66000
519097	Ritesh International Ltd	85.52822
519105	AVT Natural Products Ltd.	1522.84000
519126	Hindustan Foods Ltd.	1127.42690
519136	Nahar Industrial Enterprises L	432.05581
519140	Vegepro Foods & Feeds Ltd.	212.80000
519152	Vadilal Enterprises Ltd.	8.62668
519156	Vadilal Industries Ltd.	71.87830
519168	Nijjer Agro Food Ltd.	102.00000
519174	Ashiana Agro Industries Ltd	46.00000
519183	ADF Foods Limited.	219.72719
519187	Fortune Foods Ltd	43.60000
519191	Retro Green Revolution Limited	90.38000
519214	Williamson Financial Services	83.59136
519216	Ajanta Soya Limited	804.82990
519224	William Magor & Company Limite	109.56360
519230	Richirich Inventures Limited	48.00000
519234	Superior Industrial Enterprise	138.50000
519238	Saptarishi Agro Industries Ltd	340.22042
519242	Sarda Proteins Ltd	17.25900
519260	SANWARIA CONSUMER LIMITED	7361.00000
519262	Prima Agro Ltd.	51.94900
519273	Unno Industries Ltd	4264.28750
519279	Madhur Industries Limited	40.90000
519285	Tarai Foods Ltd.	177.28120
519287	Modern Dairies Ltd.	233.19861
519295	Bambino Agro Industries Ltd	80.08846
519299	Prime Industries Ltd.	156.53400
519303	Trombo Extractions Limited	41.50000
519307	Vikas WSP Ltd.	2044.39600
519319	JATALIA GLOBAL VENTURES LIMITE	37.05720
519331	VSF Projects Limited	65.76747
519353	Bansisons Tea Industries Ltd.	63.30000
519359	Poona Dal And Oil Industries L	57.08000
519367	Transglobe Foods Ltd.	1.44895
519383	Anik Industries Limited	277.53486
519397	Sharat Industries Ltd.	239.12500
519403	Milk Specialities Ltd.	90.03100
519413	DATIWARE MARITIME INFRA LIMITE	50.00000
519415	KMG Milk Food Limited	53.04600
519421	KSE Ltd.	32.00000
519439	Pioneer Agro Extracts ltd.	43.32300
519451	Vadilal Dairy International Lt	31.94150
519455	Narbada Gems and Jewellery Lim	211.57310
519457	Virat Crane Industries Ltd	204.23750
519463	IB Infotech Enterprises Ltd	12.80721
519471	Ambar Protein Industries Limit	57.50000
519475	Chordia Food Products Ltd	40.28252
519477	CIAN Agro Industries & Infrast	279.85895
519479	Omega Ag-Seeds (Punjab) ltd.	79.04000
519483	Tai Industries Ltd.	60.00000
519494	N.K.Industries Ltd.	60.09900
519500	BKV Industries Ltd.	154.48584
519506	NCC Bluewater Products Ltd.	77.50000
519528	Norben Tea & Exports Ltd	117.50000
519532	Asian Tea & Exports Ltd.	200.00000
519546	Kengold (India) Ltd.	95.15250
519552	Heritage Foods Limited	927.96000
519560	Neha International Ltd.	283.79568
519566	Simran Farms Ltd.	37.91700
519570	Lakshmi Overseas Industries Lt	699.70000
519574	Hindustan Agrigenetics Ltd.	44.00200
519600	CCL Products (India) Ltd.	1330.27920
519602	Kellton Tech Solutions Ltd.	965.30799
519604	Suryo Foods & Industries Ltd.	39.60000
519606	Integrated Proteins Ltd.	36.75200
519612	Mahaan Foods Ltd.	35.00700
520008	RICO Auto Industries Ltd.	1352.85000
520021	Omax Autos Ltd.	213.88213
520043	Munjal Showa Ltd.	399.95000
520051	Jamna Auto Industries Ltd.	3988.31885
520056	Sundaram Clayton Ltd.	202.32085
520057	JTEKT India Limited	2443.88689
520059	Munjal Auto Industries Ltd.	1000.00000
520066	Jay Bharat Maruti Ltd.	433.00000
520073	RACL Geartech Limited	107.81600
520075	Samkrg Pistons and Rings Ltd.	98.20500
520081	East Coast Steel Ltd	53.96468
520086	Sical Logistics Limited	585.20264
520111	Ratnamani Metals & Tubes Ltd	700.92000
520113	Vesuvius India Ltd.	202.96080
520119	Automotive Stampings and Assem	158.64397
520121	Arcee Indusrtries ltd.	51.38777
520123	ABC India Ltd.	54.17232
520127	Balurghat Technologies Ltd.	182.00000
520131	Coastal Roadways Ltd.	41.46565
520133	Alang Marine Ltd.	60.11280
520139	Jagson Airlines Ltd.	201.68980
520141	Sibar Auto Parts Ltd.	165.25100
520149	Mafatlal Lubricants Ltd.	100.00000
520151	Shreyas Shipping And Logistics	219.57533
520155	Starlog Enterprises Limited	119.66985
521003	Shiva Suitings Ltd.	15.50395
521005	TITAN INTECH LIMITED	74.44579
521009	Niwas Spinning Mills Ltd.	140.89393
521014	Eurotex Industries & Exports L	87.49865
521016	Indo Count Industries Ltd	1980.54340
521018	Maral Overseas Ltd.	415.08000
521030	Nakoda Limited	3000.00000
521034	Soma Textile & Industries Ltd	330.33000
521036	Source Industries (India) Ltd	114.03110
521038	Tamilnadu Jaibharat Mills Ltd	138.00000
521048	Advance Lifestyles Ltd.	31.12875
521054	Kakatiya Textiles Ltd.	58.10600
521062	Perfect-Octave Media Projects	347.00100
521064	Trident Ltd	50959.55670
521068	Hisar Spinning Mills Ltd	37.35000
521070	Alok Industries Ltd.	49652.40401
521076	Amit Spinning Industries Ltd.	411.69667
521080	Pasari Spinning Mills Ltd.	138.00000
521082	Spentex Industries Ltd.	897.72035
521097	Amarjothi Spinning Mills Ltd	67.50000
521105	Olympia Industries Ltd.	60.23570
521109	Nagreeka Exports Ltd.	124.99700
521113	Suditi Industries Ltd.	263.67291
521127	Khator Fibre & Fabrics Ltd.	42.50000
521131	Shree Bhavya Fabrics Limited	95.00000
521133	Gem Spinners India Ltd	613.71990
521137	Eureka Industries Ltd.	87.50000
521141	Aditya Spinners Ltd.	167.40888
521149	Prime Urban Development India	266.43600
521151	Dhanlaxmi Fabrics Ltd.	85.81100
521161	Sri Lakshmi Saraswathi Textile	33.32750
521163	Zodiac Clothing Co. Ltd.	259.93717
521167	Frontline Business Solutions L	213.24078
521176	Gangotri Textiles Ltd.	326.14634
521178	Sri Ramakrishna Mills (Coimbat	71.18330
521180	Super Spinning Mills Ltd.	550.00000
521182	Seasons Furnishings Ltd.	73.93900
521188	United Textiles Ltd.	30.00000
521194	SIL Investments Ltd	105.95860
521200	Suryalakshmi Cotton Mills Ltd.	188.05290
521206	Samtex Fashions Ltd.	745.00000
521210	Cityman Limited	117.01100
521216	Dhanalaxmi Roto Spinners Ltd.	39.00300
521220	Damodar Industries Limited	233.00000
521222	Sanblue Corporation Limited	49.99575
521226	Uniroyal Industries Ltd	82.68720
521228	Tatia Global Vennture Limited	1516.20000
521232	Sunil Industries Ltd.	42.00000
521234	Sri Nachammai Cotton Mills Ltd	43.00000
521238	KKRRAFTON Developers Limited	5.59600
521240	Sambandam Spinning Mills Ltd.	42.64600
521242	Kandagiri Spinning Mills Ltd.	38.49250
521244	Chitradurga Spintex Ltd.	34.11030
521246	Paras Petrofils Ltd.	3342.21000
521248	Kitex Garmenets Ltd.	665.00000
522001	Cranex Ltd.	60.00000
522004	Batliboi Ltd	288.85881
522005	Austin Engineering Co. Ltd.	34.77800
522014	United Drilling Tools Ltd.	203.03126
522015	VCCL Ltd.	48.00007
522017	Fluidomat Ltd.	49.27000
522027	Ema India Ltd.	10.05000
522029	Windsor Machines Limited	649.31800
522034	Shanthi Gears Ltd.	767.15853
522036	Miven Machine Tools Ltd.	30.03500
522042	S.M. Energy Teknik & Electroni	123.12000
522064	HONDA INDIA POWER PRODUCTS LIM	101.43071
522073	The Hi-Tech Gears Limited	187.68000
522074	Elgi Equipments Ltd.	3169.09016
522085	Stone India Ltd.	95.96499
522091	United Van Der Horst Ltd.	55.90500
522101	Kilburn Engineering Ltd	358.08594
522105	Birla Precision Technologies L	652.71137
522108	Yuken India Ltd.	120.00000
522113	Timken India Ltd	752.18734
522122	Voith Paper Fabrics India Ltd	43.92559
522134	Artson Engineering Ltd	369.20000
522150	Aditya Forge Ltd	43.08600
522152	Solitaire Machine Tools Ltd	45.42176
522163	Diamond Power Infrastructure L	2697.10679
522165	Indsil Hydro Power and Mangane	277.91122
522171	TMT (India) ltd.	49.53800
522183	ITL Industries Ltd.	32.04300
522195	Frontier Springs Ltd.	39.38511
522205	Praj Industries Ltd.	1837.13088
522207	Rasandik Engg. Industries Indi	59.75000
522209	Yogi Sung-won (India) Ltd.	168.45800
522215	HLE GLASCOAT LIMITED	682.65480
522217	Gujarat Apollo Industries Ltd.	118.00000
522229	Taneja Aerospace & Aviation Lt	249.30736
522231	Conart Engineers Ltd.	31.40000
522235	Minal Industries Limited	1919.00650
522237	Shivagrico Implements Ltd.	50.13600
522241	M.M.Forgings Ltd.	241.40800
522245	Iykot Hitech Toolroom Ltd	60.84000
522249	Mayur Uniquoters ltd.	439.52600
522251	Cenlub Industries Ltd.	46.62899
522257	Rajoo Engineers Ltd.	615.30750
522261	Dolphin Offshore Enterprises (	167.72518
522267	Veejay Lakshmi Engineering Wor	50.71900
522271	Union Bearings (India) Ltd.	36.53150
522273	Ahmedabad Steelcraft Ltd.	40.92000
522275	GE T&D India Limited	2560.46535
522281	Ram Ratna Wires Ltd.	440.00000
522285	Jayaswal Neco Industries Ltd	9709.98244
522287	KALPATARU PROJECTS INTERNATION	1624.46152
522289	NMS RESOURCES GLOBAL LIMITED	30.05600
522292	CANDOUR TECHTEX LIMITED	169.37263
522294	T & I Global Ltd.	50.67700
522295	Control Print (India) Ltd.	163.31712
522650	Bemco Hydraulics Ltd.	21.86700
523007	Ansal Buildwell Ltd.	73.83843
523011	Weizmann Limited.	158.59021
523019	B.N.Rathi Securities Ltd.	84.00000
523021	Rishi Techtex Limited	73.91000
523023	Sinclairs Hotels  Ltd	271.50000
523025	Safari Industries (India) Ltd.	237.14290
523031	A.D.S. Diagnostics Ltd.	22.50000
523054	Binayak Tex Processors  Ltd.	7.11300
523062	J.J. Finance Corporation Ltd.	28.20000
523100	Cosmo Ferrites Ltd.	120.30000
523105	Planter Polysacks Ltd.	1.40000
523113	Futuristic Securities Ltd	19.50000
523116	Sanco Trans Ltd.	18.00000
523120	Ador Multiproducts Ltd	46.73633
523127	EIH Associated Hotels Ltd.	304.68147
523133	Bonanza Industries Ltd	24.27392
523144	Medi-Caps Ltd.	124.69956
523151	Otco International Ltd	129.68120
523160	Morganite Crucible (India) Lim	56.00000
523164	SIP Industries Ltd	46.76415
523186	B&A Packaging India Limited	22.10000
523204	Aban  Offshore Ltd.	583.65323
523207	Kokuyo Camlin Ltd	1003.03806
523209	Nicco-Uco Alliance Credit Ltd.	830.45503
523218	Kilburn Office Automation Ltd.	67.50100
523222	SRM Energy Limited	90.60000
523229	Bharat Seats Ltd	314.00000
523230	Jalpac India Ltd.	68.90000
523232	Continental Petroleums Ltd.	49.30624
523242	N.B. Footwear Ltd.	135.00000
523246	Chokhani International Ltd.	327.74150
523248	Machino Plastics Ltd	61.36800
523260	Pearl Polymers Ltd.	168.34932
523261	Venky's (India) ltd.	140.87336
523269	Advani Hotels & Resorts (India	462.19250
523277	G.V. Films  Ltd.	9146.27833
523283	Superhouse limited	110.25000
523289	Rama Vision Ltd	100.26266
523301	TCPL Packaging Limited	91.00000
523309	Shri Gang Industries & Allied	179.30000
523315	Purity Flex Pack Ltd	7.80000
523319	Balmer Lawrie & Co. Ltd.	1710.03846
523323	Kovai Medical Center & Hospita	109.42262
523329	Eldeco Housing & Ind. Ltd.	98.33000
523343	Microse India Limited	30.03000
523351	Standard Shoe Sole and Mould (	51.81500
523367	DCM Shriram Limited	1559.42296
523369	DCM Shriram Industries Ltd.	869.92185
523371	Mawana Sugars Ltd	391.16864
523373	Mini Diamonds (India) Ltd.	34.50000
523384	Maha Rashtra Apex Corporation	141.50100
523385	Nilkamal Limited	149.22525
523387	Triton Corp. Ltd.	1998.89650
523391	Nahar Polyfilms Ltd.	245.87991
523395	3M India Ltd.	112.65070
523398	Johnson Controls-Hitachi Air C	271.90884
523405	JM Financial Limited	9548.03803
523411	ADC India Communications Limit	46.00000
523415	Coventry Coil-O-Matic (Haryana	45.08000
523419	Tamilnadu Telecommunications L	456.81000
523425	Sunraj Diamond Exports Ltd.	53.30400
523445	Reliance Industrial Infrastruc	151.00000
523449	Sharp India Ltd	259.44000
523457	Linde India Limited	852.84223
523465	Ind Bank Housing Ltd	100.00000
523467	Jai Mata Glass Ltd.	1000.00000
523475	Lotus Chocolate Co. Ltd.	128.41049
523483	Pacific Industries ltd.	68.92650
523489	Chennai Meenakshi Multispecial	74.68920
523519	Universal Office Automation Li	146.52686
523523	Rainbow Papers Ltd.	1062.17300
523537	APM Industries Ltd.	216.11360
523539	Precision Wires India ltd.	1786.57975
523544	Monica Electronics Ltd.	43.00000
523550	Krypton Industries Ltd	146.97130
523558	SWISS MILITARY CONSUMER GOODS	1965.93992
523566	Martin Burn Ltd	51.53859
523574	Future Enterprises Limited	4549.30401
523586	Indian Toners & Developers Ltd	108.50000
523594	Kunststoffe Industries Ltd.	68.90000
523598	Shipping Corporation Of India	4657.99010
523606	Sika Interplant Systems Ltd.	42.40175
523610	ITI Limited (Indian Teleph.Ind	9608.86938
523618	Dredging Corporation of India	280.00000
523620	Phaarmasia Limited.	68.26960
523628	Poddar Housing and Development	63.15400
523630	National Fertilizers Ltd.	4905.78400
523638	IP Rings Ltd.	126.75865
523642	PI Industries Limited	1517.18118
523648	Plastiblends India Ltd.	259.89200
523650	YASH INNOVENTURES LIMITED	67.21150
523652	Kkalpana Plastick Limited	55.28535
523660	Waterbase Limited	414.26779
523672	Flex Foods Ltd.	124.50000
523676	Golkunda Diamonds & Jewellery	69.64080
523694	Apcotex Industries Limited	518.44960
523696	Fortis Malar Hospitals Limited	187.41759
523704	Mastek Limited	305.28758
523708	EIMCO Elecon India Ltd.	57.68385
523710	Sayaji Hotel Ltd	175.18000
523712	JMG Corporation Ltd	231.57895
523716	Ashiana Housing Limited	1023.52099
523722	Svam Software Ltd	168.89000
523732	Ecoboard Industries Ltd	178.32000
523736	Dhunseri Ventures Limited	350.24754
523752	TRANS INDIA HOUSE IMPEX LIMITE	169.00000
523754	MAHINDRA EPC IRRIGATION LIMITE	279.12808
523756	SREI Infrastructure Finance li	5030.86333
523782	Mitshi India Limited	88.00000
523790	Shukra Jewellers Limited	135.72800
523792	Mazda Ltd.	40.05000
523796	Viceroy Hotels Ltd.	424.05224
523820	Neo Corp International Ltd	380.22198
523826	Sovereign Diamonds Ltd	57.88002
523828	Menon Bearings Ltd	560.40000
523832	Mukat Pipes Limited	118.30000
523834	Mangalwedha Sun-Soya Ltd	28.70000
523836	Gujarat Raffia Ind. Ltd.	54.04500
523838	Simplex Infrastructures Limite	571.42820
523840	Innovative Tech Pack Ltd	224.65000
523842	Super Tannery Limited	1079.73360
523844	CONSTRONICS INFRA LIMITED	72.09041
523846	Skypak Service Specialist Ltd.	30.91220
523850	Axtel Industries Ltd.	161.54800
523862	Pacheli Industrial Finance Lim	37.32050
523868	UBE Industries Ltd	46.00000
523874	Precision Containeurs Limited.	223.81200
523876	Jyoti Overseas Ltd	64.62976
523888	V R Woodart Ltd	148.91806
523890	D.S.Kulkarni Developers Ltd	258.01008
523896	AVI PRODUCTS INDIA LIMITED	25.84572
524000	POONAWALLA FINCORP LIMITED	7681.38782
524009	Raashi Fertilizers Ltd.	60.90000
524013	Hindustan Flurocarbons Ltd.	195.99100
524019	Kingfa Science & Technology (I	121.10461
524031	Patidar Buildcon Limited	55.00570
524037	Rama Phosphates Ltd.	176.51229
524038	Venlon Enterprises Ltd.	522.42494
524046	Pet Plastics Ltd.	5.00000
524051	Polyplex Corporation Ltd.	313.92462
524055	Panther Industrial Products Lt	14.00007
524075	Albert David Ltd.	57.07162
524080	Haryana Leather Chemicals Ltd.	49.08470
524091	CARYSIL LIMITED	267.71941
524109	Kabra Extrusion Technik Ltd	335.91106
524129	Vinyl Chemicals (India) Ltd.	183.37111
524136	Pee Cee Cosma Sope Ltd.	26.46250
524156	TCM Ltd.	74.77877
524164	IOL Chemicals & Pharmaceutical	587.05502
524174	Kesar Petroproducts Ltd	966.73170
524200	Vinati Organics Ltd.	1027.82050
524202	Lactose (India) Ltd.	125.89000
524204	Teesta Agro Industries Ltd	56.10000
524208	Aarti Industries Ltd	3625.04035
524210	Pentokey Organy (India) Ltd.	62.72629
524212	Wanbury Limited	327.05498
524218	Resonance Specialties Limited	115.44000
524226	Gujarat Ambuja Exports Ltd.	2293.35330
524230	Rashtriya Chemicals & Fertiliz	5516.88100
524238	Gujarat Inject (Kerala) Ltd.	48.99000
524264	Unimers India Ltd.	159.01999
524280	Kopran Ltd.	482.10605
524288	Aimco Pesticides Ltd.	95.82513
524314	Gujarat Terce Laboratories Ltd	74.20300
524316	Hindustan Photo Films Mfg. Co.	2008.65000
524322	Kabra Drugs Ltd	43.88600
524324	Seya Industries Ltd	265.70540
524330	Jayant Agro-Organics Limited.	300.00000
524332	BCL INDUSTRIES LIMITED	241.50000
524336	Shree Hari Chemicals Export Lt	44.46300
524342	Indo Borax & Chemicals Ltd.	320.90000
524348	Aarti Drugs Limited	926.00000
524366	Claro India Ltd	50.00000
524370	Bodal Chemicals Ltd	1256.23465
524372	Orchid Pharma Limited	408.16400
524388	Crazy Infotech Ltd.	668.81000
524394	Vimta Labs Ltd.	221.38549
524396	Biofil Chemicals & Pharmaceuti	162.73800
524400	Ishita Drugs & Industries Ltd.	29.90300
524404	Marksans Pharma Ltd.	4531.63746
524408	Universal Starch-Chem Allied L	42.00000
524412	Aarey Drugs & Pharmaceuticals	253.84684
524414	Norris Medicines Ltd.	100.00700
524434	Asian Petroproducts & Exports	78.92000
524440	Camex  Ltd.	102.08700
524444	EVEXIA LIFECARE LIMITED	6644.33330
524458	Indo Euro Indchem Limited	90.54500
524470	Syncom Formulations (India) Lt	9400.00000
524480	Riddhi Siddhi Gluco Biols Ltd	71.29786
524488	SVC INDUSTRIES LIMITED	1630.95352
